category,product,vial,client_rate,mrp,reporting_time,page
HEMATOLOGY,ABO & RH (BLOOD GROUPING),PURPLE - EDTA,50.0,100.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,BT CT,,200.0,400.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,CBC - COMPLETE BLOOD COUNTS,PURPLE - EDTA,150.0,300.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,CBC + ESR - HEMOGRAME,PURPLE - EDTA,200.0,400.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,PBS - (Peripheral blood Smear) - Comments,PURPLE - EDTA,250.0,500.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,ESR,BLACK,50.0,100.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,HEMOGLOBIN (HB%),PURPLE - EDTA,50.0,100.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,MALARIA PARASITE (PERIPHERAL SMEAR) - BSMP,PURPLE - EDTA,150.0,300.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,MALARIA CARD ANTIGEN TEST,PURPLE - EDTA,150.0,300.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,SICKLING TEST,PURPLE - EDTA,200.0,400.0,48 hrs,1
HEMATOLOGY,PLATELET COUNT,PURPLE - EDTA,100.0,200.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,PROTHROMBIN TIME WITH INR (PT INR),SKY,200.0,500.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,"APTT, PLASMA",SKY,300.0,500.0,Same day ( 6pm to 7pm),1
HEMATOLOGY,RETICULOCYTE COUNT,PURPLE - EDTA,100.0,200.0,Same day ( 6pm to 7pm),1
SEROLOGY,ASO (ANTI STREPHTOLYSIN O) - QUANTITATIVE,RED - PLAIN,200.0,450.0,Same day ( 6pm to 7pm),1
SEROLOGY,CRP (C-REACTIVE PROTEIN) - QUANTITATIVE,RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),1
SEROLOGY,RA FACTOR - QUANTITATIVE,RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),1
SEROLOGY,CHIKUNGUNYA CARD TEST (RAPID),RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),1
SEROLOGY,DENGUE CARD TEST (NS1 + IGG + IGM),RED - PLAIN,400.0,800.0,Same day ( 6pm to 7pm),1
SEROLOGY,HIV I & II Card Test,RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),1
SEROLOGY,HBSAG (AUSTRALIA ANTIGEN) Card Test,RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),1
SEROLOGY,HCV (HEPATITIS C ANTIBODY) Card Test,RED - PLAIN,200.0,450.0,Same day ( 6pm to 7pm),1
SEROLOGY,HBSAG - ELISA Method,RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),1
SEROLOGY,HIV I & II - ELISA Method,RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),1
SEROLOGY,HCV - ELISA Method,RED - PLAIN,400.0,800.0,Same day ( 6pm to 7pm),1
SEROLOGY,MANTOUX (TUBERCULIN TEST),10 TU / 5 TU,100.0,200.0,48 to 72 Hrs,1
SEROLOGY,MICROFILARIA CARD TEST,PURPLE / RED,300.0,600.0,Same day ( 6pm to 7pm),1
SEROLOGY,MICROFILARIA ANTIGEN - ELISA Method,PURPLE / RED,750.0,1500.0,Same day ( 6pm to 7pm),1
SEROLOGY,H PYLORI CARD TEST,RED - PLAIN,400.0,800.0,Same day ( 6pm to 7pm),1
SEROLOGY,H PYLORI IGG IGA TEST,RED - PLAIN,1250.0,2500.0,Same day ( 6pm to 7pm),1
SEROLOGY,VDRL TEST,RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),1
SEROLOGY,TYPHI DOT IGG IGM,RED - PLAIN,250.0,500.0,Same day ( 6pm to 7pm),1
SEROLOGY,WIDAL TEST,RED - PLAIN,100.0,200.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,STOOL ROUTINE EXAMINATION,CONTAINER,150.0,300.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,STOOL FOR OCCULT BLOOD,CONTAINER,150.0,300.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,SEMEN ANALYSIS - Colletion at Lab Only,CONTAINER,200.0,300.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE BILE SALT / PIGMENT,CONTAINER,50.0,100.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE FOR KETONE BODIES,CONTAINER,150.0,300.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE PREGNANCY TEST,CONTAINER,100.0,200.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE ROUTINE EXAMINATION,CONTAINER,50.0,100.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE CULTURE & SUSCEPTIBILITY,CONTAINER,150.0,300.0,48 Hrs,1
CLINICAL PATHOLOGY,URINE R/E & C/S,CONTAINER,200.0,400.0,48 Hrs,1
CLINICAL PATHOLOGY,URINE SUGAR,CONTAINER,50.0,100.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE PROTEIN 24 HRS,CONTAINER,300.0,600.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE 24 HRS FOR ACID FAST BACILLI,CONTAINER,300.0,600.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE ALBUMIN / MICROALBUMIN A/C RATIO-SPOT,CONTAINER,300.0,600.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE PROTEIN,CONTAINER,50.0,100.0,Same day ( 6pm to 7pm),1
CLINICAL PATHOLOGY,URINE PROTEIN CREATININE RATIO (SPOT / 24 HRS),CONTAINER,300.0,600.0,Same day ( 6pm to 7pm),1
BIOCHEMISTRY,ADA - Adenosine Deaminase,RED - PLAIN,450.0,900.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"ALKALINE PHOSPHATASE, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"ALBUMIN, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"BILIRUBIN (TOTAL), SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"BILIRUBIN (TOTAL, DIRECT & INDIRECT), SERUM",RED - PLAIN,150.0,300.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"CALCIUM, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"CHOLESTEROL (TOTAL), SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,CPK,RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,CK MB,RED - PLAIN,400.0,800.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"CREATININE, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,GAMMA GT (GGT),RED - PLAIN,100.0,200.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,SUGAR GLUCOSE FASTING,GREY - Fluoride,25.0,50.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,SUGAR GLUCOSE PP,GREY - Fluoride,25.0,50.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,SUGAR GLUCOSE RANDOM,GREY - Fluoride,25.0,50.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,EGFR - GLOMERULAR FILTRATION RATE,RED - PLAIN,100.0,200.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,HBA1C (GLYCOSYLATED HEAMOGLOBIN),PURPLE,250.0,500.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,LDH,RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"KFT-1 - KIDNEY FUNCTION TEST (creat, urea, calcium, uric acid)",RED,300.0,600.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,KFT-2 - KIDNEY FUNCTION TEST with Electrolyte & Urine R/E,RED & Urine,450.0,900.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,LIVER FUNCTION TEST (LFT),RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"LIPID PROFILE,SERUM",RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"AMYLASE, SERUM",RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"LIPASE, SERUM",RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"IRON, SERUM",RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"PHOSPHORUS,SERUM",RED - PLAIN,100.0,200.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"TOTAL PROTEIN, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"POTASSIUM (K+), SERUM",RED - PLAIN,150.0,200.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"SODIUM (NA+), SERUM",RED - PLAIN,150.0,200.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"ELECTROLYTES, SERUM",RED - PLAIN,200.0,400.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"PROTEIN, ALBUMIN, GLOBULIN A-G RATIO",RED - PLAIN,250.0,500.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"SGPT, SERUM - ALT",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"SGOT, SERUM - AST",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"TRIGLYCERIDES, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,UREA,RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
BIOCHEMISTRY,"URIC ACID, SERUM",RED - PLAIN,75.0,150.0,Same day ( 6pm to 7pm),2
HARMONES & TUMOR MARKER,T3,RED - PLAIN,70.0,150.0,Same day ( 6pm to 7pm),2
HARMONES & TUMOR MARKER,T4,RED - PLAIN,70.0,150.0,Same day ( 6pm to 7pm),2
SPECIALISED TEST MENU,TSH,RED - PLAIN,60.0,300.0,Same day ( 6pm to 7.30pm),5
SPECIALISED TEST MENU,T3 T4 TSH (THYROID PROFILE),RED - PLAIN,80.0,500.0,Same day ( 6pm to 7.30pm),5
HARMONES & TUMOR MARKER,"FT3, FT4, TSH",RED - PLAIN,300.0,600.0,Same day ( 6pm to 7pm),2
HARMONES & TUMOR MARKER,"FT4, TSH",RED - PLAIN,200.0,500.0,Same day ( 6pm to 7pm),2
HARMONES & TUMOR MARKER,FT3 - FREE T3,RED - PLAIN,100.0,250.0,Same day ( 6pm to 7pm),2
HARMONES & TUMOR MARKER,FT4 - FREE T4,RED - PLAIN,100.0,250.0,Same day ( 6pm to 7pm),2
